id,first_name,last_name,email,phone_number,is_cell,city,state,date_of_birth,likely_voter
55,Dione,Fitchen,dfitchen1i@rakuten.co.jp,515-721-5805,true,Des Moines,IA,3/22/1964,0.575
56,Laina,Laidler,llaidler1j@xing.com,513-339-1790,true,Cincinnati,OH,5/8/1999,0.188
57,Tally,Brunner,tbrunner1k@gizmodo.com,830-821-5679,true,San Antonio,TX,2/1/1992,0.357
58,Jerrold,Wesgate,jwesgate1l@webmd.com,916-680-9554,false,Sacramento,CA,1/1/1972,0.337
59,Desmond,Shoreson,dshoreson1m@blogspot.com,801-927-4210,false,Ogden,UT,6/22/1999,0.267
60,Gill,Dwelly,gdwelly1n@skyrock.com,212-927-5233,false,New York City,NY,4/7/1986,0.293
61,Belvia,Saintsbury,bsaintsbury1o@epa.gov,203-763-2848,true,Norwalk,CT,8/8/1970,0.385
62,Pate,Alphonso,palphonso1p@amazon.co.jp,915-317-1835,false,El Paso,TX,6/21/1990,0.127
63,Barbabra,Rymer,brymer1q@wsj.com,205-784-2462,true,Tuscaloosa,AL,12/15/1987,1.0
64,Eugenio,Roffe,eroffe1r@hibu.com,510-238-1628,true,Oakland,CA,6/24/1953,0.356
65,Lazarus,Heaviside,lheaviside1s@springer.com,757-684-8710,false,Virginia Beach,VA,12/30/1991,0.337
66,Ernesto,Sturt,esturt1t@upenn.edu,717-573-5941,false,Harrisburg,PA,10/8/1975,0.363
67,Kyrstin,Saile,ksaile1u@twitter.com,716-895-1510,true,Buffalo,NY,3/25/1975,0.528
68,Cortie,Flagg,cflagg1v@alibaba.com,203-621-2507,true,Danbury,CT,5/16/1973,0.938
69,Jeannine,Colleer,jcolleer1w@merriam-webster.com,313-587-4507,true,Detroit,MI,7/16/1994,0.36
70,Garry,Puve,gpuve1x@i2i.jp,713-621-6477,true,Houston,TX,3/8/1980,0.275
71,Doria,Losel,dlosel1y@biglobe.ne.jp,502-305-0252,false,Louisville,KY,5/5/1983,0.638
72,Benedikta,Cranmer,bcranmer1z@ibm.com,760-417-2886,true,Orange,CA,10/1/1983,0.668
73,Tonya,Vasilik,tvasilik20@independent.co.uk,716-817-2613,true,Buffalo,NY,6/10/1984,0.19
74,Hermy,Whitmell,hwhitmell21@disqus.com,513-736-0569,true,Cincinnati,OH,3/28/1968,0.823
75,Misha,Peirone,mpeirone22@comcast.net,801-658-7171,false,Salt Lake City,UT,4/12/1991,0.136
76,Gasper,Hallad,ghallad23@miitbeian.gov.cn,785-670-0269,false,Topeka,KS,4/25/1953,0.407
77,Robenia,Widdison,rwiddison24@wikipedia.org,205-494-5834,true,Birmingham,AL,9/17/1968,0.725
78,Rene,Luty,rluty25@businesswire.com,203-527-7771,false,New Haven,CT,9/29/1973,0.599
79,Gilda,Balog,gbalog26@howstuffworks.com,661-836-0502,false,Burbank,CA,12/22/1994,0.445
80,Portia,Todhunter,ptodhunter27@shop-pro.jp,318-664-6220,true,Shreveport,LA,5/31/1979,0.557
81,Wendi,Crace,wcrace28@twitter.com,602-346-6497,true,Chandler,AZ,10/8/2000,0.554
82,Abbi,Redhouse,aredhouse29@fc2.com,843-237-0563,false,Charleston,SC,1/29/1964,0.999
83,Anthony,Igoe,aigoe2a@wix.com,505-257-5365,true,Albuquerque,NM,7/21/2000,0.838
84,Channa,Cornely,ccornely2b@adobe.com,614-235-3936,true,Columbus,OH,10/9/1949,0.4
85,Elene,Goodday,egoodday2c@sciencedirect.com,860-932-3095,false,West Hartford,CT,6/2/1991,0.64
86,Roxanna,Weatherby,rweatherby2d@hud.gov,215-678-9572,true,Philadelphia,PA,12/18/1999,0.501
87,Konstance,Gossage,kgossage2e@columbia.edu,214-620-6966,true,Dallas,TX,3/20/1962,0.268
88,Alina,O'Heneghan,aoheneghan2f@pbs.org,940-292-4482,false,Wichita Falls,TX,6/3/1985,0.078
89,Dario,Angric,dangric2g@skyrock.com,805-188-8252,false,Santa Barbara,CA,6/6/1986,1.0
90,Latrina,Stuckow,lstuckow2h@kickstarter.com,406-476-5985,true,Billings,MT,8/10/1988,0.887
91,Lurleen,Sheraton,lsheraton2i@altervista.org,479-549-5868,true,Fort Smith,AR,3/27/1989,0.593
92,Raynell,Purdon,rpurdon2j@usda.gov,213-195-8668,true,Los Angeles,CA,2/11/1991,0.927
93,Duffy,Janatka,djanatka2k@mozilla.org,915-107-9773,false,El Paso,TX,2/23/1995,0.334
94,Rustie,Filpo,rfilpo2l@ucsd.edu,212-162-5099,true,New York City,NY,5/21/1982,0.156
95,Jamima,Brindley,jbrindley2m@mediafire.com,205-413-7739,true,Birmingham,AL,11/3/1978,0.204
96,Maxy,Backsal,mbacksal2n@parallels.com,212-261-2805,true,New York City,NY,11/16/1966,0.563
97,Jillana,Hamblington,jhamblington2o@sogou.com,202-212-1311,false,Washington,DC,7/1/1964,0.912
98,Wynny,Moland,wmoland2p@ucla.edu,202-879-0571,true,Washington,DC,1/29/1958,0.608
99,Klarrisa,Huitt,khuitt2q@pcworld.com,614-474-9212,false,Columbus,OH,9/26/1973,0.533
100,Harcourt,Colloff,hcolloff2r@sciencedaily.com,812-529-4505,true,Evansville,IN,3/4/1963,0.31
101,Darius,Renbold,drenbold2s@webmd.com,419-658-3860,false,Toledo,OH,12/20/1947,0.215
102,Ernesto,Joinsey,ejoinsey2t@cyberchimps.com,804-741-8975,false,Richmond,VA,2/4/1963,0.262
103,Shalne,Gullifant,sgullifant2u@illinois.edu,951-268-1661,false,San Bernardino,CA,2/25/1979,0.477
104,Lurette,Kneath,lkneath2v@ovh.net,503-623-1565,true,Portland,OR,3/29/1999,0.619
105,Osbourne,Narraway,onarraway2w@senate.gov,859-589-9654,true,Lexington,KY,9/13/1955,0.439
106,Evanne,Knappitt,eknappitt2x@nymag.com,806-889-7139,false,Amarillo,TX,4/4/1985,0.665
107,Roarke,Unstead,runstead2y@indiatimes.com,559-153-9337,false,Fresno,CA,4/11/1997,0.273
108,Skye,Cavanagh,scavanagh2z@blogspot.com,952-815-9190,true,Young America,MN,5/26/1963,0.493
109,Devin,Rainey,drainey30@nsw.gov.au,915-750-0263,true,El Paso,TX,5/1/1991,0.113
110,Herold,Amos,hamos31@who.int,850-293-2936,true,Panama City,FL,2/13/1977,0.679
111,Casey,Ronaldson,cronaldson32@constantcontact.com,318-270-5520,false,Shreveport,LA,7/30/1954,0.409
112,Tucker,Burke,tburke33@nytimes.com,571-367-1988,true,Arlington,VA,12/9/1981,0.782
113,Fara,Beldum,fbeldum34@issuu.com,850-719-1969,true,Pensacola,FL,7/1/1975,0.776
114,Gallagher,Rohlfs,grohlfs35@usa.gov,734-160-1989,true,Ann Arbor,MI,6/9/1980,0.281
115,Faydra,Shillitto,fshillitto36@example.com,213-488-1990,false,Los Angeles,CA,10/1/1994,0.531
116,Nappie,Pinckney,npinckney37@about.com,501-143-5225,true,Little Rock,AR,2/9/1987,0.87
117,Rosanna,Arnowicz,rarnowicz38@dailymotion.com,678-284-7209,false,Norcross,GA,12/21/1972,0.672
118,Tracey,Beggio,tbeggio39@mapquest.com,281-469-9950,true,Houston,TX,12/22/1979,0.366
119,Fremont,Welfair,fwelfair3a@deviantart.com,405-255-7833,false,Oklahoma City,OK,10/3/1947,0.885
120,Richmound,McGillreich,rmcgillreich3b@dropbox.com,615-330-1577,true,Nashville,TN,12/2/1957,0.484
121,Leeland,Hollingsbee,lhollingsbee3c@ucoz.com,202-278-8170,true,Washington,DC,4/9/1977,0.058
122,Joane,Heighton,jheighton3d@last.fm,757-767-6511,false,Suffolk,VA,8/22/1999,0.684
123,Kariotta,MacMarcuis,kmacmarcuis3e@ted.com,478-532-3465,true,Macon,GA,12/31/1975,0.856
124,Violetta,Blades,vblades3f@patch.com,754-503-6287,true,Pompano Beach,FL,2/16/1950,0.333
125,Blanche,Balwin,bbalwin3g@homestead.com,808-382-2240,true,Honolulu,HI,5/13/1965,0.084
126,Abrahan,Matkovic,amatkovic3h@reuters.com,330-424-4431,false,Akron,OH,11/2/1947,0.806
127,Cathyleen,Tofpik,ctofpik3i@independent.co.uk,864-413-7353,true,Greenville,SC,12/9/1972,0.291
128,Sarette,Edge,sedge3j@gizmodo.com,256-990-8513,true,Huntsville,AL,2/12/1964,0.803
129,Allison,Bielefeld,abielefeld3k@squidoo.com,720-439-4435,false,Boulder,CO,11/6/1982,0.193
130,Hurley,Covert,hcovert3l@rediff.com,937-835-6390,false,Dayton,OH,2/27/1991,0.334
131,William,McAneny,wmcaneny3m@soundcloud.com,936-191-7629,true,Beaumont,TX,8/25/1976,0.85
132,Shelby,Slyvester,sslyvester3n@ocn.ne.jp,269-714-1046,false,Kalamazoo,MI,8/15/1974,0.296
133,Tabbie,McGilvary,tmcgilvary3o@cloudflare.com,858-311-0138,false,San Diego,CA,7/3/1967,0.683
134,Jim,MacNamara,jmacnamara3p@indiegogo.com,202-679-4891,true,Washington,DC,3/12/1973,0.566
135,Biron,Slyman,bslyman3q@skyrock.com,602-405-6245,false,Chandler,AZ,2/27/1980,0.34
136,Concordia,Greydon,cgreydon3r@fema.gov,860-865-6233,true,Hartford,CT,8/13/1962,0.251
137,Kiel,Chezelle,kchezelle3s@shinystat.com,512-683-3570,false,Austin,TX,6/16/1996,0.92
138,Mikaela,Linskill,mlinskill3t@japanpost.jp,757-601-5265,false,Portsmouth,VA,8/27/1950,0.214
139,Riordan,Stockton,rstockton3u@1688.com,707-808-8560,false,Santa Rosa,CA,5/25/1951,0.451
140,Valentia,Ledbury,vledbury3v@cbslocal.com,785-783-8684,true,Topeka,KS,8/29/1969,0.995
141,Clim,Jewes,cjewes3w@engadget.com,614-660-3480,false,Columbus,OH,4/16/1992,0.411
142,Pamelina,Kiln,pkiln3x@nps.gov,406-549-3695,false,Missoula,MT,10/21/1980,0.16
143,Alexandrina,Blunden,ablunden3y@netscape.com,212-910-4622,true,New York City,NY,2/18/1965,0.21
144,Vilma,Devita,vdevita3z@wsj.com,314-323-3518,true,Saint Louis,MO,9/12/1953,0.198
145,Thurstan,O'Currine,tocurrine40@weibo.com,918-233-5674,false,Tulsa,OK,4/11/1988,0.123
146,Elinor,Scogings,escogings41@csmonitor.com,214-926-5176,false,Dallas,TX,12/23/1947,0.097
147,Giorgio,Burchill,gburchill42@go.com,602-871-6202,true,Glendale,AZ,11/8/2001,0.779
148,Darya,Blankley,dblankley43@cnet.com,202-132-8824,false,Washington,DC,12/5/2001,0.188
149,Lorena,Carmichael,lcarmichael44@washington.edu,318-802-6695,true,Shreveport,LA,8/2/1993,0.463
150,Joete,Tedridge,jtedridge45@ucoz.com,317-355-1627,false,Indianapolis,IN,1/10/1950,0.015
151,Waylen,Kauschke,wkauschke46@php.net,251-989-3601,true,Mobile,AL,2/12/1995,0.822
152,Ignacio,Gwillim,igwillim47@multiply.com,716-700-8600,false,Buffalo,NY,10/12/1959,0.746
153,Normie,Skirlin,nskirlin48@vkontakte.ru,623-427-0570,false,Phoenix,AZ,8/11/1979,0.04
154,Winnifred,Sinkings,wsinkings49@google.cn,801-928-3654,false,Ogden,UT,8/14/1994,0.168
155,Tobey,Francecione,tfrancecione4a@vkontakte.ru,415-830-8816,true,San Francisco,CA,2/9/1963,0.382
156,Tome,Parkeson,tparkeson4b@businesswire.com,321-844-0514,false,Melbourne,FL,12/9/1978,0.285
157,Fabien,Cristofolo,fcristofolo4c@hhs.gov,309-155-0325,true,Peoria,IL,1/20/1961,0.766
158,Karina,Blaszczynski,kblaszczynski4d@nymag.com,817-131-2332,true,Fort Worth,TX,6/15/1984,0.834
159,Chastity,Idiens,cidiens4e@paginegialle.it,806-111-1816,false,Lubbock,TX,12/19/1951,0.229
160,Clio,Rosbottom,crosbottom4f@apache.org,414-420-2398,false,Milwaukee,WI,8/20/1974,0.768
161,Nathanil,Ennals,nennals4g@goodreads.com,269-743-6984,false,Battle Creek,MI,2/23/1969,0.766
162,Mack,Rasch,mrasch4h@buzzfeed.com,904-663-7477,false,Jacksonville,FL,10/9/1991,0.255
163,Gladi,Lassell,glassell4i@shinystat.com,312-663-9005,true,Chicago,IL,2/25/1998,0.09
164,Ignacius,Rosensaft,irosensaft4j@google.co.jp,954-783-8062,true,Hollywood,FL,11/2/1963,0.318
165,Lynn,Stoad,lstoad4k@dmoz.org,702-196-4387,true,Las Vegas,NV,1/12/1979,0.548
166,Arlette,Erlam,aerlam4l@woothemes.com,212-503-9861,false,New York City,NY,12/29/1962,0.596
167,Yul,Sketch,ysketch4m@hud.gov,518-574-2547,false,Albany,NY,5/2/1961,0.253
168,Yule,Goldstraw,ygoldstraw4n@oaic.gov.au,352-375-2363,false,Brooksville,FL,6/29/1991,0.369
169,Justin,Cutsforth,jcutsforth4o@barnesandnoble.com,864-161-6088,false,Greenville,SC,1/25/1989,0.234
170,Tiffany,Connue,tconnue4p@weebly.com,510-360-5499,true,Oakland,CA,8/12/1979,0.128
171,Rubetta,Mervyn,rmervyn4q@npr.org,402-830-6236,true,Lincoln,NE,3/6/2002,0.983
172,Letitia,Coggon,lcoggon4r@omniture.com,515-658-4512,false,Des Moines,IA,6/16/1986,0.492
173,Dorene,Gething,dgething4s@vimeo.com,602-240-7055,false,Phoenix,AZ,2/28/1994,0.134
174,Connor,Georgeot,cgeorgeot4t@nasa.gov,915-278-2264,false,El Paso,TX,6/10/1976,0.263
175,Nestor,Ferentz,nferentz4u@seattletimes.com,757-526-9893,true,Norfolk,VA,5/29/1965,0.319
176,Denys,Tomczykiewicz,dtomczykiewicz4v@walmart.com,305-161-9813,true,Miami,FL,9/1/1998,0.438
177,Ibby,Imore,iimore4w@cdc.gov,727-160-0506,false,Largo,FL,11/25/1949,0.4
178,Katey,Hinstridge,khinstridge4x@sbwire.com,202-352-5461,false,Washington,DC,9/24/1962,0.822
179,Wallas,Gatchel,wgatchel4y@mtv.com,336-308-1351,true,High Point,NC,8/26/1951,0.638
180,Manolo,Edmenson,medmenson4z@jiathis.com,661-673-3153,true,Van Nuys,CA,1/2/1998,0.855
181,Philbert,Noen,pnoen50@biglobe.ne.jp,512-578-6745,false,Austin,TX,12/26/1986,0.825
182,Maxie,Cooke,mcooke51@4shared.com,414-734-8663,false,Milwaukee,WI,1/27/1996,0.979
183,Felipe,Potts,fpotts52@ovh.net,208-324-9353,false,Boise,ID,3/26/1958,0.667
184,Nyssa,Blunsum,nblunsum53@sohu.com,561-800-3524,true,Lake Worth,FL,10/17/1989,0.321
185,Gui,Caddies,gcaddies54@theglobeandmail.com,206-560-8230,true,Tacoma,WA,1/9/1996,0.669
186,Jose,Greener,jgreener55@wordpress.org,757-942-9380,true,Portsmouth,VA,2/7/1999,0.408
187,Erin,Mapston,emapston56@yale.edu,336-325-0380,true,High Point,NC,12/19/1959,0.641
188,Pru,Drillot,pdrillot57@seesaa.net,719-234-2819,false,Colorado Springs,CO,4/9/1976,0.384
189,Randi,Kloisner,rkloisner58@com.com,816-143-4270,true,Kansas City,MO,1/30/1976,0.905
190,Timothy,Surmon,tsurmon59@multiply.com,817-195-9466,false,Fort Worth,TX,4/16/1969,0.91
191,Maureen,Piggrem,mpiggrem5a@google.com.au,254-998-0926,false,Temple,TX,2/21/1985,0.27
192,Dion,Hackwell,dhackwell5b@cnbc.com,210-827-5234,false,San Antonio,TX,5/25/1957,0.303
193,Shaun,Lighton,slighton5c@booking.com,760-503-9457,true,Carlsbad,CA,3/8/1974,0.384
194,Friedrick,Vawton,fvawton5d@hubpages.com,917-697-0524,false,New York City,NY,2/28/1952,0.557
195,Cyrus,Timberlake,ctimberlake5e@pagesperso-orange.fr,818-960-1307,false,Van Nuys,CA,9/10/1981,0.302
196,Ebba,Hassur,ehassur5f@jigsy.com,213-746-2497,false,Los Angeles,CA,5/30/1957,0.608
197,Aharon,Sarah,asarah5g@apache.org,512-874-4057,true,Austin,TX,12/17/1978,0.696
198,Shaine,Currall,scurrall5h@comcast.net,516-636-6430,true,Hicksville,NY,11/28/1947,0.891
199,Nissy,Spiller,nspiller5i@squarespace.com,559-356-4354,true,Fresno,CA,1/24/1971,0.504
200,Devland,Dunseith,ddunseith5j@opera.com,405-851-4418,true,Oklahoma City,OK,6/21/1983,0.537
201,Bertine,Sorey,bsorey5k@bravesites.com,719-302-2434,false,Colorado Springs,CO,2/15/1972,0.831
202,Faunie,Lumpkin,flumpkin5l@epa.gov,217-357-0475,true,Decatur,IL,7/31/1979,0.652
203,Jake,Palleske,jpalleske5m@hatena.ne.jp,314-553-0864,true,Saint Louis,MO,8/24/1981,0.841
204,Delaney,Michele,dmichele5n@exblog.jp,505-201-8590,false,Las Cruces,NM,3/14/1974,0.877
205,Marketa,Medeway,mmedeway5o@deliciousdays.com,813-318-3491,true,Tampa,FL,4/20/1994,0.039
206,Stevie,de Banke,sdebanke5p@addtoany.com,816-395-8757,true,Kansas City,MO,3/30/1957,0.176
207,Felike,Kleinholz,fkleinholz5q@bloglovin.com,646-270-0701,true,New York City,NY,10/28/1953,0.495
208,Shepard,Snowdon,ssnowdon5r@skyrock.com,971-282-5376,true,Portland,OR,7/6/1989,0.02
209,Eirena,Ashlin,eashlin5s@hao123.com,818-944-7063,true,Los Angeles,CA,2/23/1977,0.513
210,Gabi,Maving,gmaving5t@hud.gov,405-857-4456,true,Oklahoma City,OK,11/9/1955,0.364
211,Dugald,Langfitt,dlangfitt5u@seattletimes.com,203-683-8569,true,Norwalk,CT,1/25/1974,0.462
212,Jeffy,Heinemann,jheinemann5v@cisco.com,912-456-2815,false,Savannah,GA,9/28/1964,0.222
213,Henrie,Schleicher,hschleicher5w@npr.org,602-788-7892,false,Phoenix,AZ,3/19/1956,0.728
214,Hasheem,Laminman,hlaminman5x@sfgate.com,520-459-0114,false,Tucson,AZ,8/15/1995,0.894
215,Delainey,Quarless,dquarless5y@go.com,202-931-0613,true,Washington,DC,7/15/1962,0.273
216,Redd,Le Grys,rlegrys5z@nba.com,859-774-5345,true,Lexington,KY,6/23/1965,0.89
217,Carilyn,Walrond,cwalrond60@yolasite.com,503-324-3351,false,Portland,OR,3/8/1962,0.654
218,Ulrich,Road,uroad61@indiegogo.com,208-131-0704,true,Boise,ID,3/24/1997,0.5
219,Sherie,Sloy,ssloy62@webnode.com,941-487-5820,true,Bradenton,FL,6/6/1964,0.201
220,Elysia,Cockcroft,ecockcroft63@e-recht24.de,702-263-4377,false,Las Vegas,NV,7/15/1994,0.815
221,Roderic,Dear,rdear64@wisc.edu,971-991-4704,true,Salem,OR,1/1/1986,0.714
222,Eamon,Stowe,estowe65@hexun.com,305-887-1129,true,Miami,FL,11/26/1954,0.869
223,Cathee,Hunn,chunn66@pagesperso-orange.fr,702-259-3770,true,Santa Barbara,CA,9/29/1990,0.975
224,Kelsey,Curtain,kcurtain67@eepurl.com,816-596-0099,true,Kansas City,MO,9/26/1974,0.814
225,Gallagher,Stallard,gstallard68@eventbrite.com,281-323-6628,true,Houston,TX,12/1/2000,0.399
226,Anna,Kinnar,akinnar69@angelfire.com,713-292-1615,true,Houston,TX,1/31/1954,0.472
227,Eric,Lage,elage6a@edublogs.org,205-719-9412,true,Birmingham,AL,12/16/1993,0.52
228,Bradford,Shotton,bshotton6b@squidoo.com,727-642-7101,true,Clearwater,FL,11/13/1982,0.693
229,Kahlil,Kerfoot,kkerfoot6c@purevolume.com,608-486-3400,false,Madison,WI,9/15/1958,0.033
230,Desirae,Randall,drandall6d@dropbox.com,518-659-1938,true,Albany,NY,6/11/1984,0.516
231,Sybyl,Mohamed,smohamed6e@tiny.cc,205-233-7070,false,Birmingham,AL,4/29/1948,0.668
232,Konrad,Sandy,ksandy6f@reuters.com,603-869-8908,false,Manchester,NH,5/17/1954,0.674
233,Barbra,Ponceford,bponceford6g@moonfruit.com,510-485-9609,true,Oakland,CA,6/19/1990,0.693
234,Aubine,Jewson,ajewson6h@fc2.com,314-832-7851,false,Saint Louis,MO,1/25/1974,0.599
235,Clemence,Strapp,cstrapp6i@github.io,859-821-4458,true,Lexington,KY,1/4/1964,0.517
236,Madella,Lilleyman,mlilleyman6j@360.cn,857-450-7913,false,Watertown,MA,12/3/1968,0.929
237,August,Marsay,amarsay6k@si.edu,845-321-5680,false,White Plains,NY,1/12/1979,0.806
238,Bobette,Vardie,bvardie6l@cyberchimps.com,317-730-7524,false,Indianapolis,IN,4/4/1999,0.403
239,Fayina,Abramchik,fabramchik6m@imgur.com,623-902-6563,false,Peoria,AZ,7/27/1985,0.57
240,Frankie,Brydone,fbrydone6n@comsenz.com,817-754-7294,true,Fort Worth,TX,8/18/1947,0.721
241,Lenard,Yarham,lyarham6o@shinystat.com,401-638-0614,true,Providence,RI,1/19/1979,0.994
242,Harbert,Simonard,hsimonard6p@fastcompany.com,719-272-7297,false,Colorado Springs,CO,11/21/1994,0.347
243,Tallie,Nusche,tnusche6q@hugedomains.com,540-898-5788,false,Roanoke,VA,8/11/1953,0.864
244,Devland,Ormistone,dormistone6r@japanpost.jp,904-387-2411,true,Jacksonville,FL,11/17/1981,0.035
245,Lilllie,Mackieson,lmackieson6s@artisteer.com,303-325-8574,true,Littleton,CO,10/4/1961,0.944
246,Keene,Collens,kcollens6t@nifty.com,602-715-9997,false,Phoenix,AZ,2/9/1976,0.289
247,Gardy,Hargate,ghargate6u@dropbox.com,907-217-3226,true,Anchorage,AK,12/15/1957,0.425
248,Arnoldo,Bleakman,ableakman6v@apple.com,209-553-1907,true,Stockton,CA,9/27/1951,0.418
249,Lyndsie,Tchaikovsky,ltchaikovsky6w@pagesperso-orange.fr,858-843-4812,false,San Diego,CA,4/6/1976,0.954
250,Andria,Stithe,astithe6x@simplemachines.org,408-226-1458,true,San Jose,CA,9/20/1960,0.198
251,Franny,Adamovitch,fadamovitch6y@diigo.com,410-117-1048,true,Ridgely,MD,7/26/2000,0.295
252,Evangelin,Verrechia,everrechia6z@google.cn,404-767-1132,false,Atlanta,GA,3/12/1966,0.095
